block,disease,first,inner,num_index,outer,partition,second,third
12,a,12,0.9923497492241447,1.0,0.0002460227608168169,"[12, 0, 0]",0,0
11,a,11,0.9848101875701858,12.0,0.002974875297775294,"[11, 1, 0]",1,0
10,a,10,0.9745989304812834,66.0,0.0073481081390031995,"[10, 1, 1]",1,1
10,a,10,0.966438405488743,66.0,0.009262693686246451,"[10, 2, 0]",2,0
9,a,9,0.9503186558516802,660.0,0.03767924732002235,"[9, 2, 1]",2,1
1,c,6,0.9457092819614711,5544.0,0.10470726642280137,"[6, 5, 1]",5,1
9,a,9,0.9249626666945143,220.0,0.019356074010332278,"[9, 3, 0]",3,0
8,a,8,0.9181360201511336,1485.0,0.038999985711019654,"[8, 2, 2]",2,2
1,c,7,0.9012875536480686,3960.0,0.09155664151806124,"[7, 4, 1]",4,1
8,a,8,0.8942590775269873,1980.0,0.06673549192196311,"[8, 3, 1]",3,1
2,c,5,0.8605577689243028,8316.0,0.06904078074988566,"[5, 5, 2]",5,2
7,a,7,0.8457076566125291,7920.0,0.1129067596402987,"[7, 3, 2]",3,2
8,a,8,0.8409889463604422,495.0,0.030159133926378933,"[8, 4, 0]",4,0
2,c,6,0.809688581314879,13860.0,0.1324886164456637,"[6, 4, 2]",4,2
6,a,6,0.7500000000000001,9240.0,0.06601508916323727,"[6, 3, 3]",3,3
7,a,7,0.6961071779934027,792.0,0.03772218041372418,"[7, 5, 0]",5,0
3,c,5,0.625,27720.0,0.13203017832647457,"[5, 4, 3]",4,3
6,a,6,0.4993255916879175,462.0,0.020141139182783215,"[6, 6, 0]",6,0
4,a,4,0.33333333333333337,5775.0,0.020629715363511655,"[4, 4, 4]",4,4
